id,example_ja,example_zh
n1_0001,その判断は一見合理的でも、当事者には悪どいものとして受け止められました。,那個判斷乍看合理，但當事人將其感受為「惡劣、過分」。
n1_0002,通りは昼を欺く明るさだった。,路上如同白天一樣明亮
n1_0003,先生は「著しい発展を遂げる」という例を挙げた。,老師舉了「取得顯著的發展」這個例子。
n1_0004,資料の中で「結婚して独立の生計を営む」が使われている。,資料中使用了「結婚後自力更生」。
n1_0005,発表では「厳かに宣言する」と説明した。,發表時說明為「鄭重宣布」。
n1_0006,つまらないことおびただしい。,無聊得很
n1_0007,会議で「資源ゴミを回収する」という表現を使った。,會議中用了「回收資源垃圾」這個表達。
n1_0008,記事には「格差社会」と書かれていた。,報導中寫著「貧富差距顯著的社會」。
n1_0009,先生は「過疎地帯」という例を挙げた。,老師舉了「人口稀少地區」這個例子。
n1_0010,企業が利益の一部を地域に還元する。,企業將部分利潤回饋給當地
n1_0011,発表では「道徳規範」と説明した。,發表時說明為「道德規範」。
n1_0012,救済について議論が続いている。,關於「救濟」的討論仍在持續。
n1_0013,文章では「興じる」を慎重に使う。,寫文章時要謹慎使用「沉迷、取樂」。
n1_0014,記事には「大きな岩を覆す」と書かれていた。,報導中寫著「弄翻大岩石」。
n1_0015,先生は「仮説を検証する」という例を挙げた。,老師舉了「驗證假設」這個例子。
n1_0016,資料の中で「容疑者の身柄を拘束する」が使われている。,資料中使用了「拘留嫌犯」。
n1_0017,発表では「風邪がこじれて肺炎になる」と説明した。,發表時說明為「感冒惡化成肺炎」。
n1_0018,再建について議論が続いている。,關於「重建」的討論仍在持續。
n1_0019,会議で「木々が日差しを遮る」という表現を使った。,會議中用了「樹遮擋住了陽光」這個表達。
n1_0020,記事には「示唆を与える」と書かれていた。,報導中寫著「給予啟發；給以暗示」。
n1_0021,先生は「血液循環」という例を挙げた。,老師舉了「血液循環」這個例子。
n1_0022,資料の中で「とりあえず応急処置を施す」が使われている。,資料中使用了「先暫時進行應急處理」。
n1_0023,発表では「速やかに対策を講じる」と説明した。,發表時說明為「迅速採取對策」。
n1_0024,制裁について議論が続いている。,關於「制裁」的討論仍在持續。
n1_0025,健康のありがたさを切実に感じる。,深切體會到健康的重要性
n1_0026,記事には「結婚を前提に付き合う」と書かれていた。,報導中寫著「以結婚為前提進行交往」。
n1_0027,相殺について議論が続いている。,關於「抵銷」的討論仍在持續。
n1_0028,資料の中で「貿易の促進を図る」が使われている。,資料中使用了「促進貿易」。
n1_0029,発表では「臨機応変に対処する」と説明した。,發表時說明為「隨機應變地應對」。
n1_0030,薬効が端的に現れる。,藥效明顯地顯現出來。
n1_0031,会議で「疲労が蓄積される」という表現を使った。,會議中用了「疲勞積累」這個表達。
n1_0032,記事には「外国企業と提携する」と書かれていた。,報導中寫著「與外國企業合作」。
n1_0033,「徹する」の使い方に注意する。,注意「徹底、貫徹」的用法。
n1_0034,資料の中で「市場の動向を調査する」が使われている。,資料中使用了「調查市場動向」。
n1_0035,発表では「配慮が足りない」と説明した。,發表時說明為「考慮不周」。
n1_0036,文の内容を十分把握する。,充分理解文章的內容。
n1_0037,資料で「抜本」の意味を確認した。,在資料中確認了「根本」的意思。
n1_0038,記事には「ブランド商品が氾濫する」と書かれていた。,報導中寫著「名牌貨氾濫」。
n1_0039,この駐車場は車の出入りが頻繁だ。,這間停車場車進進出出很頻繁
n1_0040,揺れている甲板をしっかり踏まえた。,穩穩地踩在搖晃的甲板上
n1_0041,発表では「包括的に述べる」と説明した。,發表時說明為「總結性敘述」。
n1_0042,式典の冒頭に挨拶を述べる。,在典禮開始時致詞。
n1_0043,大学に合格する見込みは薄い。,考上大學的可能性很小
