id,example_ja,example_zh
n4_0001,毎朝、先生に挨拶します。,每天早上向老師打招呼。
n4_0002,駅まで案内します。,帶路到車站。
n4_0003,会議で意見を言います。,在會議中說出意見。
n4_0005,受付で名前を書きます。,在櫃台寫名字。
n4_0006,黒板の字をノートに写します。,把黑板上的字抄到筆記本。
n4_0010,子供の時のことを思い出します。,想起小時候的事。
n4_0011,来週、会議に参加します。,下週參加會議。
n4_0012,約束は必ず守ります。,一定會遵守約定。
n4_0014,日本語を話す機会が増えました。,說日文的機會增加了。
n4_0015,この道は危険です。,這條路很危險。
n4_0016,学校の規則を守ります。,遵守學校規則。
n4_0017,今日は気分がいいです。,今天心情很好。
n4_0019,急行に乗ります。,搭快車。
n4_0021,この仕事で多くの経験をしました。,在這份工作中累積了許多經驗。
n4_0022,山の景色がきれいです。,山上的景色很漂亮。
n4_0024,父は工場で働いています。,爸爸在工廠工作。
n4_0025,パソコンが故障しました。,電腦故障了。
n4_0027,音を少し下げます。,把音量稍微降低。
n4_0028,図書館で騒がないでください。,請不要在圖書館吵鬧。
n4_0029,旅行の支度をします。,做旅行準備。
n4_0030,失敗しても、また練習します。,就算失敗，也會再練習。
n4_0031,電車は九時に出発します。,電車九點出發。
n4_0032,試験の準備をします。,準備考試。
n4_0033,友達を家に招待します。,邀請朋友到家裡。
n4_0034,予定をメールで知らせます。,用電子郵件通知行程。
n4_0035,親切な人に道を教えてもらいました。,親切的人告訴我路。
n4_0037,先生が文法を説明します。,老師說明文法。
n4_0038,家族と相談します。,和家人商量。
n4_0039,家で花を育てています。,在家裡種花。
n4_0040,友達は大切です。,朋友很重要。
n4_0041,確か、会議は三時です。,我記得會議是三點。
n4_0042,先生の家を訪ねます。,拜訪老師家。
n4_0043,明日は都合が悪いです。,明天不方便。
n4_0045,この場所は特別です。,這個場所很特別。
n4_0047,机の上に本を並べます。,把書排列在桌上。
n4_0048,来年、大学に入学します。,明年進大學。
n4_0050,人前で話すのは恥ずかしいです。,在人前說話很害羞。
n4_0051,旅行にはパスポートが必要です。,旅行需要護照。
n4_0052,この問題は複雑です。,這個問題很複雜。
n4_0053,普通の生活が一番です。,普通的生活最好。
n4_0054,先生にメールで返事を書きました。,用電子郵件回覆老師。
n4_0056,無理をしないで、少し休みましょう。,不要勉強，稍微休息一下吧。
n4_0057,友達との約束を守ります。,遵守和朋友的約定。
n4_0058,週末の予定を手帳に書きました。,把週末的預定寫在記事本上。
n4_0059,遅れた理由を先生に説明しました。,向老師說明遲到的理由。
n4_0060,あとで連絡します。,等一下聯絡。
n4_0061,赤ん坊が静かに寝ています。,嬰兒安靜地睡著。
n4_0062,この川は浅いので、子供も遊べます。,這條河很淺，所以小孩也能玩。
n4_0063,このスープはやさしい味がします。,這碗湯味道很溫和。
n4_0064,駅前に学生が集まります。,學生聚集在車站前。
n4_0065,古い切手を集めています。,正在收集舊郵票。
n4_0066,遅れたので謝ります。,因為遲到所以道歉。
n4_0067,母の声を聞いて安心しました。,聽到媽媽的聲音後安心了。
n4_0068,旅行の前に安全を確認します。,旅行前確認安全。
n4_0069,関係者以外は入れません。,相關人員以外不能進入。
