id,reading,writing,normalizedReading,playReading,zh,level,script
n1_0001,あくどい,悪どい,あくどい,あくどい,惡質、過火,N1,kanji
n1_0002,あざむく,欺く,あざむく,あざむく,欺騙,N1,kanji
n1_0003,いちじるしい,著しい,いちじるしい,いちじるしい,顯著、明顯,N1,kanji
n1_0004,いとなむ,営む,いとなむ,いとなむ,經營；從事、維持生活,N1,kanji
n1_0005,おごそか,厳か,おごそか,おごそか,莊嚴、肅穆,N1,kanji
n1_0006,おびただしい,夥しい,おびただしい,おびただしい,大量、非常多,N1,kanji
n1_0007,かいしゅう,回収,かいしゅう,かいしゅう,回收,N1,kanji
n1_0008,かくさ,格差,かくさ,かくさ,差距、落差,N1,kanji
n1_0009,かそ,過疎,かそ,かそ,人口過疏、人口稀少,N1,kanji
n1_0010,かんげん,還元,かんげん,かんげん,還原；回饋,N1,kanji
n1_0011,きはん,規範,きはん,きはん,規範,N1,kanji
n1_0012,きゅうさい,救済,きゅうさい,きゅうさい,救濟,N1,kanji
n1_0013,きょうじる,興じる,きょうじる,きょうじる,沉浸、取樂,N1,kanji
n1_0014,くつがえす,覆す,くつがえす,くつがえす,推翻,N1,kanji
n1_0015,けんしょう,検証,けんしょう,けんしょう,驗證,N1,kanji
n1_0016,こうそく,拘束,こうそく,こうそく,拘束、限制；拘留,N1,kanji
n1_0017,こじれる,拗れる,こじれる,こじれる,惡化、變複雜；彆扭,N1,kanji
n1_0018,さいけん,再建,さいけん,さいけん,重建,N1,kanji
n1_0019,さえぎる,遮る,さえぎる,さえぎる,遮擋、阻斷；打斷,N1,kanji
n1_0020,しさ,示唆,しさ,しさ,暗示、啟發,N1,kanji
n1_0022,しょち,処置,しょち,しょち,處置、處理,N1,kanji
n1_0023,すみやか,速やか,すみやか,すみやか,迅速、盡快,N1,kanji
n1_0024,せいさい,制裁,せいさい,せいさい,制裁,N1,kanji
n1_0025,せつじつ,切実,せつじつ,せつじつ,迫切、深切,N1,kanji
n1_0026,ぜんてい,前提,ぜんてい,ぜんてい,前提,N1,kanji
n1_0027,そうさい,相殺,そうさい,そうさい,抵銷,N1,kanji
n1_0028,そくしん,促進,そくしん,そくしん,促進,N1,kanji
n1_0029,たいしょ,対処,たいしょ,たいしょ,應對,N1,kanji
n1_0030,たんてき,端的,たんてき,たんてき,直截了當、明確,N1,kanji
n1_0031,ちくせき,蓄積,ちくせき,ちくせき,累積,N1,kanji
n1_0032,ていけい,提携,ていけい,ていけい,合作、結盟,N1,kanji
n1_0034,どうこう,動向,どうこう,どうこう,動向,N1,kanji
n1_0035,はいりょ,配慮,はいりょ,はいりょ,顧慮、體貼,N1,kanji
n1_0036,はあく,把握,はあく,はあく,掌握、理解,N1,kanji
n1_0037,ばっぽん,抜本,ばっぽん,ばっぽん,根本、徹底,N1,kanji
n1_0038,はんらん,氾濫,はんらん,はんらん,氾濫,N1,kanji
n1_0039,ひんぱん,頻繁,ひんぱん,ひんぱん,頻繁,N1,kanji
n1_0040,ふまえる,踏まえる,ふまえる,ふまえる,根據、考量,N1,kanji
n1_0041,ほうかつ,包括,ほうかつ,ほうかつ,包括、涵蓋,N1,kanji
n1_0042,ぼうとう,冒頭,ぼうとう,ぼうとう,開頭,N1,kanji
n1_0043,みこみ,見込み,みこみ,みこみ,可能性、預期,N1,kanji
n1_0044,もっぱら,専ら,もっぱら,もっぱら,專心於、主要,N1,kanji
n1_0045,ゆうずう,融通,ゆうずう,ゆうずう,變通、調度,N1,kanji
n1_0046,ようにん,容認,ようにん,ようにん,容許,N1,kanji
